food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category,is_olahan_code,food_name_normalized_tkpi,urt_match_normalized,match_score,best_candidate,match_status,urt_food_name,urt_gram,urt,food_name_normalized_urt,urt_gram_numeric,gram_per_portion,URT,match_type,is_usable_for_recommendation
BR033,"Umbi Uwi, segar",BKP,"69,7",120,,,,"2,6","0,9",9.0,42,"1,3",12.0,412.0,"0,3","0,6",,0,0,"0,02","0,5","0,2",4,86.0,MP,False,umbi uwi,,70.58823529411764,cumi cumi,low_score,,,,,,,,unmatched,False
CR001,"Kacang arab, kering",DABM-1964,"11,6",330,,,,"17,4",3,57.0,388,"4,7",24.0,,"0,85","3,4",,40,140,"0,77","0,21","1,5",2,100.0,LN,False,kacang arab,,69.56521739130434,kacang hijau,low_score,,,,,,,,unmatched,False
CR002,"Kacang babi, kering",KZGPI-1990,"11,6",341,,,,"4,5","3,5",178.0,521,"6,8",13.0,1768.0,"0,82","3,1",,,87,"0,23","0,33","2,8",,80.0,LN,False,kacang babi,,72.72727272727273,daging babi,low_score,,,,,,,,unmatched,False
CR003,"Kacang belimbing (kecipir), kering",KZGPI-1990,"10,4",400,,,,"10,7","4,2",468.0,182,"6,8",37.0,955.0,"2,82",2,,,,"0,3","0,44",3,,100.0,LN,False,kacang belimbing kecipir,,54.54545454545454,belimbing,low_score,,,,,,,,unmatched,False
CR004,"Kacang beracun, segar",KZGMI-2001,"72,1",118,,,,,"0,4",50.0,50,"1,7",10.0,40.0,"0,3",1,,,,"0,43",,,,,LN,False,kacang beracun,,69.23076923076923,kacang hijau,low_score,,,,,,,,unmatched,False
CR005,"Kacang bogor, kering",DABM-1964,10,370,16.0,6.0,65.0,"26,3",3,85.0,264,"4,2",44.0,,"1,48","2,7",0,,,"0,18","0,26","6,2",0,100.0,LN,False,kacang bogor,,58.33333333333333,kacang hijau,low_score,,,,,,,,unmatched,False
CR006,"Kacang bogor, segar",KZGPI-1990,"60,8",165,,,,"2,5",1,96.0,126,"5,3",6.0,537.0,"0,41","1,2",,29,,"0,32","0,35","2,7",,100.0,LN,False,kacang bogor,,58.33333333333333,kacang hijau,low_score,,,,,,,,unmatched,False
CR007,"Kacang endel, biji, kering",DABM-1964,14,331,25.0,1.0,58.0,"23,6",2,80.0,400,5,12.0,,"0,68","2,7",0,,,"0,3","0,75","2,3",,95.0,LN,False,kacang endel biji,,62.06896551724138,kacang hijau,low_score,,,,,,,,unmatched,False
CR008,"Kacang ercis, segar",KZGMI-2001,"67,6",129,,,,"28,6",1,40.0,130,"2,3",4.0,310.0,"0,3","2,1",,212,,"0,29","0,05","2,7",,45.0,LN,False,kacang ercis,,66.66666666666667,kacang hijau,low_score,,,,,,,,unmatched,False
CR009,"kacang galing, segar",DABM-1964,12,336,,,,,"3,8",80.0,400,5,,,,,0,,,"0,6",,,0,95.0,LN,False,kacang galing,,66.66666666666667,daging kambing,low_score,,,,,,,,unmatched,False
CR010,"Kacang gude, biji, kering",KZGPI-1990,"16,1",316,,1.0,58.0,"4,6","4,2",146.0,445,"4,7",16.0,,"0,99","2,7",,19,,"0,3","0,19","2,4",,100.0,LN,False,kacang gude biji,,71.42857142857143,kacang hijau,low_score,,,,,,,,unmatched,False
CR011,"Kacang gude, biji, segar",DABM-1964,"70,3",114,7.0,,,"4,4","2,3",3.0,122,"1,5",4.0,,"0,12","0,9",,,70,"0,37","0,07","0,8",43,100.0,LN,False,kacang gude biji,,71.42857142857143,kacang hijau,low_score,,,,,,,,unmatched,False
CR012,"Kacang hijau var. bakti, kering",KZGPI-1990,"7,4",350,,,,"5,7","3,1",94.0,315,"4,9",46.0,,"1,52","3,1",,171,235,"0,4","0,27","2,6",11,100.0,LN,False,kacang hijau var. bakti,,68.57142857142857,kacang hijau,low_score,,,,,,,,unmatched,False
CR013,"Kacang hijau var. siwalik, kering",KZGPI-1990,"8,8",339,,,,"7,4","3,7",122.0,136,"4,9",45.0,,"1,5","3,1",,168,321,"0,45","0,27","2,6",,100.0,LN,False,kacang hijau var. siwalik,,64.86486486486487,kacang hijau,low_score,,,,,,,,unmatched,False
CR014,"Kacang hijau, kering",KZGPI-1990,"15,5",323,,,,"7,5","3,3",223.0,319,"7,5",42.0,,"1,9","2,9",,156,223,"0,46","0,15","1,5",10,100.0,LN,False,kacang hijau,kacang hijau,100.0,kacang hijau,accepted_fuzzy,Kacang Hijau,25,2 Sendok Makan,kacang hijau,25.0,25.0,2 Sendok Makan,normalized_urt,True
CR015,"Kacang hitam, kering",KZGMI-2001,"12,5",346,,,,"22,8","3,1",70.0,300,"4,7",3.0,0.0,"0,9","3,5",,28,,"0,16","0,1","2,1",,100.0,LN,False,kacang hitam,,83.33333333333334,kacang hijau,low_score,,,,,,,,unmatched,False
CR016,"Kacang kapri, segar",DABM-1964,"74,3",98,,,,"6,2","0,9",22.0,122,"1,9",6.0,,"0,21","1,5",,,680,"0,34","0,16","2,5",26,45.0,LN,False,kacang kapri,,76.92307692307692,kacang kedelai,low_score,,,,,,,,unmatched,False
CR017,"Kacang kedelai, kering",KZGPI-1990,"12,7",381,,,,"3,2","5,5",222.0,682,10,210.0,,"1,58","3,9",,237,31,"0,52","0,12","1,2",,100.0,LN,False,kacang kedelai,kacang kedelai,100.0,kacang kedelai,accepted_fuzzy,Kacang Kedelai,25,2 Sendok Makan,kacang kedelai,25.0,25.0,2 Sendok Makan,normalized_urt,True
CR018,"Kacang kedelai, segar",DABM-1964,20,286,,,,"2,9","4,1",196.0,506,"6,9",28.0,,"1,24","3,6",,,95,"0,93","0,26","1,8",,100.0,LN,False,kacang kedelai,kacang kedelai,100.0,kacang kedelai,accepted_fuzzy,Kacang Kedelai,25,2 Sendok Makan,kacang kedelai,25.0,25.0,2 Sendok Makan,normalized_urt,True
CR019,"Kacang kincai, kering",KZGMI-2001,"4,2",444,,16.0,55.0,,"4,9",26.0,,,,,,,,,,"0,1","0,1","1,9",,,LN,False,kacang kincai,,74.07407407407408,kacang kedelai,low_score,,,,,,,,unmatched,False
CR020,"Kacang komak, segar",KZGMI-2001,"20,9",327,,,,"0,5","2,6",74.0,282,4,22.0,1137.0,"0,9","2,1",,,,"0,99","0,12","0,1",,45.0,LN,False,kacang komak,,75.0,kacang merah,low_score,,,,,,,,unmatched,False
CR021,"Kacang kuning, kering",KZGMI-2001,"11,7",355,17.0,,66.0,"15,1","2,8",140.0,220,"5,8",1.0,0.0,"0,7","3,2",,58,,"0,47","0,08","1,9",,,LN,False,kacang kuning,,66.66666666666667,kacang kedelai,low_score,,,,,,,,unmatched,False
CR022,"Kacang lebui/ iris, kering",KZGMI-2001,"11,8",346,,,,"37,3","3,6",144.0,368,"3,4",17.0,1225.0,"1,5","3,3",,64,,"0,62","0,2",0,,100.0,LN,False,kacang lebui iris,,58.06451612903225,kacang kedelai,low_score,,,,,,,,unmatched,False
CR023,"Kacang mentega, kering",KZGMI-2001,"13,7",344,,,,13,"2,9",110.0,300,"6,7",1.0,10.0,"0,7","2,5",,0,,"0,21","0,07","1,2",,,M,False,kacang mentega,,88.0,kacang mete,low_score,,,,,,,,unmatched,False
CR024,"Kacang merah/ banda, kering",KZGMI-2001,13,350,,3.0,,"26,3","3,2",84.0,242,"6,8",19.0,1127.0,0,42,,137,,"0,15","0,76","0,3",,100.0,LN,False,kacang merah banda,,80.0,kacang merah,low_score,,,,,,,,unmatched,False
CR025,"Kacang merah tua, kering",KZGPI- l990,"12,3",280,,,,"4,6","6,2",209.0,335,"6,4",19.0,,"0,69","2,8",,,,"0,1","0,08",2,6,100.0,LN,False,kacang merah tua,,85.71428571428572,kacang merah,low_score,,,,,,,,unmatched,False
CR026,"Kacang merah, kering",KZGPI- l990,"17,7",314,,,,4,"2,9",502.0,429,"10,3",11.0,,"0,65","2,6",,129,,"0,4","0,72","2,2",,100.0,LN,False,kacang merah,kacang merah,100.0,kacang merah,accepted_fuzzy,Kacang Merah,25,2 Sendok Makan,kacang merah,25.0,25.0,2 Sendok Makan,normalized_urt,True
CR027,"Kacang merah, segar",KZGPI- l990,"57,2",171,11.0,,28.0,"2,1","1,7",293.0,134,"3,7",7.0,,"0,34","1,4",,0,10,"0,15","0,15","1,1",,100.0,LN,False,kacang merah,kacang merah,100.0,kacang merah,accepted_fuzzy,Kacang Merah,25,2 Sendok Makan,kacang merah,25.0,25.0,2 Sendok Makan,normalized_urt,True
CR028,"Kacang mete/biji jambu monyet, segar",KZGMI-2001,"4,6",616,,,,"0,9",2,26.0,521,"3,8",26.0,692.0,"4,7","4,1",,5,,"0,64","0,03",0,,69.0,G,False,kacang mete biji jambu monyet,,55.00000000000001,kacang mete,low_score,,,,,,,,unmatched,False
CR029,"Kacang panjang, biji, kering",DABM-1964,"12,2",357,,,,"10,6","0,4",163.0,437,"6,9",16.0,,"0,35","2,8",0,2182,,"0,57","0,98","7,1",2,100.0,LN,False,kacang panjang biji,,64.51612903225806,ikan pindang,low_score,,,,,,,,unmatched,False
CR030,Kacang tanah sangan,KZGPI- l990,"1,2",560,,43.0,,"2,9","2,2",107.0,366,"4,1",34.0,,"1,69","2,1",,0,,"0,31","0,3","15,5",,100.0,LN,False,kacang tanah sangan,,75.67567567567568,kacang tanah kupas,low_score,,,,,,,,unmatched,False
