food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR023,"Daun gedi besar, segar",KZGMI-2001,84,58,"2,9","0,7",10,"3,3","2,4",440,100,"1,9",30,40,"0,2","2,1",,596,,"0,4","0,5","2,8",11,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi besar, segar",daun gedi besar,daun gedi besar,1 gelas,100,False,False,False,False
DR024,"Daun gedi kecil, segar",KZGMI-2001,"83,7",61,"3,2","0,7","10,4","3,4",2,420,70,"1,7",20,50,"0,1","1,4",,607,,"0,4","0,3","2,9",11,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi kecil, segar",daun gedi kecil,daun gedi kecil,1 gelas,100,False,False,False,False
DR025,"Daun gelang, segar",KZGPI-1990,"90,3",30,"1,3","0,7","5,8","1,3","1,9",350,210,"11,9","4,7","333,3","0,31","1,2",0,4701,1954,"0,01","0,14","0,7",1,52,D,DR,S,Sayur,tkpi_main_group,"daun gelang, segar",daun gelang,daun gelang,1 gelas,100,False,False,False,False
DR026,"Daun gunda bali, segar",KZGPI-1990,"86,4",50,"4,6","0,9",7,"1,4","1,1",167,62,"0,5",,,,,0,,6571,"0,05",,,20,49,D,DR,S,Sayur,tkpi_main_group,"daun gunda bali, segar",daun gunda bali,daun gunda bali,1 gelas,100,False,False,False,False
DR027,"Daun gunda serang, segar",KZGPI-1990,"84,6",62,"4,2","0,9","9,2","1,3","1,1",171,64,"0,6",,,,,0,,7347,"0,02",,,20,47,D,DR,S,Sayur,tkpi_main_group,"daun gunda serang, segar",daun gunda serang,daun gunda serang,1 gelas,100,False,False,False,False
DR030,"Daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5,"1,3","15,3","3,9","1,2",146,103,"5,3",2,434,"0,5","1,5",,,,"0,1","0,7",,9,,D,DR,S,Sayur,tkpi_main_group,"daun jawaw seluang, segar",daun jawaw seluang,daun jawaw seluang,1 gelas,100,False,False,False,False
DR031,"Daun jonghe, segar",KZGPI-1990,"91,4",27,"2,1","0,7","4,4",2,"1,4",253,192,"9,5",,,,,0,,5057,"0,01",,,1,45,D,DR,S,Sayur,tkpi_main_group,"daun jonghe, segar",daun jonghe,daun jonghe,1 gelas,100,False,False,False,False
DR032,"Daun kacang ma, segar",KZGPI-1990,"89,1",36,"2,9","0,6","6,8","1,8","0,6",64,220,"2,2",7,"485,3","0,2","0,3",,2893,4377,"0,04","0,18","1,2",4,33,D,DR,S,Sayur,tkpi_main_group,"daun kacang ma, segar",daun kacang ma,daun kacang ma,1 gelas,100,False,False,False,False
DR033,"Daun kacang panjang, segar",KZGPI-1990,"89,7",30,"3,1","0,3","5,8","1,7","1,1",200,66,"4,5",7,"458,6","0,2","0,3",0,2734,4592,"0,33","0,2","1,1",30,65,D,DR,S,Sayur,tkpi_main_group,"daun kacang panjang, segar",daun kacang panjang,daun kacang panjang,1 gelas,100,False,False,False,False
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,"80,3",92,4,"3,6","10,9","5,8","1,2",140,70,"1,6",70,90,"0,3","1,1",,9999,,"0,1","0,2","0,1",74,87,D,DR,S,Sayur,tkpi_main_group,"daun kasbi/singkong karet, segar",daun kasbi singkong karet,daun kasbi singkong karet,1 gelas,100,False,False,False,False
