food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready,variety_key,day,selected_portions,selected_gram
CR018,"Kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,2.9,"4,1",196,506,"6,9",28.0,870.9,"1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,71.5,7.55,3.9,7.525,7.0,217.725,49.0,0.725,False,True,"LN_kacang kedelai, segar",3,0.5,12.5
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,"LN_tahu, mentah",3,1.0,100.0
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",3,1.5,75.0
DR030,"Daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5.0,1.3,15.3,3.9,"1,2",146,103,"5,3",2.0,434.0,"0,5","1,5",,,,"0,1","0,7",,9.0,,D,DR,S,Sayur,tkpi_main_group,"daun jawaw seluang, segar",daun jawaw seluang,daun jawaw seluang,1 gelas,1.0,gelas,100.0,False,False,False,False,93.0,5.0,1.3,15.3,2.0,434.0,146.0,3.9,False,True,"S_daun jawaw seluang, segar",3,0.5,50.0
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,1.7,0.5,38.8,10.7,3,40,20,"1,8",40.0,310.0,"0,2","0,7",,14457,,"0,4","0,1","0,1",30.0,,D,DR,S,Sayur,tkpi_main_group,"daun ndusuk, segar",daun ndusuk,daun ndusuk,1 gelas,1.0,gelas,100.0,False,False,False,False,166.0,1.7,0.5,38.8,40.0,310.0,40.0,10.7,False,True,"S_daun ndusuk, segar",3,0.5,50.0
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True,"S_komak, segar",3,1.0,100.0
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True,"S_rebung, segar",3,1.0,100.0
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True,B_duku,3,1.5,120.0
ER040,"Jeruk nipis, segar",KZGPI- 1990,89,44,0.5,0.2,10.0,0.4,"0,4",18,22,"0,2",3.0,108.9,"0,06","0,1",,23,4,"0,01","0,03","0,2",20.0,76,E,ER,B,Buah,tkpi_main_group,"jeruk nipis, segar",jeruk nipis,jeruk nipis,1 ½ gelas,1.5,gelas,135.0,False,True,False,False,59.4,0.675,0.27,13.5,4.05,147.015,24.3,0.54,False,True,"B_jeruk nipis, segar",3,0.5,67.5
FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,17.5,22.0,0.0,0.0,"0,5",10,150,"2,6",93.0,267.0,"0,17","6,4",12.0,,,,,"7,3",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,95.55,6.125,7.7,0.0,32.55,93.45,3.5,0.0,False,True,LH_daging_sapi,3,0.5,17.5
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",3,2.0,90.0
GR046,"Ikan mas, segar",DABM- 1964,80,86,16.0,2.0,0.0,0.0,2,20,150,2,65.0,276.7,"0,1","1,1",45.0,8,,"0,05","0,1","2,6",0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan mas, segar",ikan mas,ikan mas,1/3 ekor sedang,0.3333333333333333,ekor sedang,45.0,False,True,False,False,38.7,7.2,0.9,0.0,29.25,124.515,9.0,0.0,False,True,"LH_ikan mas, segar",3,0.5,22.5
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,3,1.5,7.5
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kelapa,3,1.5,7.5
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,4,2.0,80.0
BR014,"Kentang hitam, segar",DABM- 1964,64,142,0.9,0.4,33.7,5.4,1,34,75,"0,2",22.0,890.3,"0,9","0,6",,0,,"0,02","0,1","2,2",38.0,75,B,BR,MP,Makanan Pokok,tkpi_main_group,"kentang hitam, segar",kentang hitam,kentang hitam,12 Biji,12.0,Biji,125.0,False,True,False,False,177.5,1.125,0.5,42.125,27.5,1112.875,42.5,6.75,False,True,"MP_kentang hitam, segar",4,2.0,250.0
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,"LN_tahu, mentah",4,2.0,200.0
