food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
CP071,Tempe gembus P3G,KZGPI- 1990,"81,9",73,"5,7","1,3","10,3","4,2","0,8",204,80,"1,5",,,,,,,22,"0,09","0,1","0,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe gembus p3g,tempe gembus p3g,tempe gembus p3g,,,,,True,False,True,False
CP072,Tempe gembus yogya,KZGPI- 1990,"80,7",76,"6,8","0,7","10,6","5,3","1,1",76,142,"16,5",,,,,,,,"0,79","0,01","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe gembus yogya,tempe gembus yogya,tempe gembus yogya,,,,,True,False,True,False
CP073,Tempe kacang babi,KZGPI- 1990,64,139,"12,5","0,8","21,9","1,8","1,2",68,182,"2,6",,,,,,,20,"0,1",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe kacang babi,tempe kacang babi,tempe kacang babi,,,,,True,False,True,False
CP074,Tempe kacang belimbing,KZGPI- 1990,"58,2",212,"17,5",10,"12,9","2,9","1,4",186,160,"2,2",,,,,,,,"0,2",,,,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe kacang belimbing,tempe kacang belimbing,tempe kacang belimbing,,,,,True,False,True,False
CP075,Tempe kedelai + jagung,KZGPI- 1990,"70,6",143,12,"5,5","11,4","1,9","0,6",155,156,"6,8",,,,,,,1320,"0,33","0,15","1,2",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe kedelai + jagung,tempe kedelai + jagung,tempe kedelai + jagung,,,,,True,False,True,False
CP076,"Tempe kedelai murni, goreng",KZGPI- 1990,"36,8",350,"24,5","26,6","10,4","4,2","1,8",202,296,"4,9",22,"626,7","0,8","2,5",,,78,"0,24","0,6","3,3",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai murni, goreng","tempe kedelai murni, goreng","tempe kedelai murni, goreng",,,,,True,False,True,False
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,"20,8","8,8","13,5","1,4","1,6",155,326,4,9,234,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50,True,True,True,False
CP078,Tempe koro benguk,DABM-1964,64,141,"10,2","1,3","23,2",,"1,3",42,15,"2,6",,,,,0,,,"0,09",,,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe koro benguk,tempe koro benguk,tempe koro benguk,,,,,True,False,True,False
CP079,Tempe lamtoro,KZGPI- 1990,"66,8",128,"10,7","0,5","21,3","7,1","0,7",203,108,"0,6",,,,,,,121,"0,17",,,2,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe lamtoro,tempe lamtoro,tempe lamtoro,,,,,True,False,True,False
CP080,Tempe lamtoro var. gung dengan kulit,KZGPI- 1990,"65,1",146,"11,7","2,3","19,6","7,6","1,3",128,41,"6,8",,,,,,,1370,"0,19",,"1,4",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe lamtoro var. gung dengan kulit,tempe lamtoro var. gung dengan kulit,tempe lamtoro var. gung dengan kulit,,,,,True,False,True,False
CP081,Tempe lamtoro var. gung tanpa kulit,KZGPI- 1990,"67,1",131,18,"0,8",13,"1,3","1,1",95,154,"12,4",,,,,,,5900,"0,2","0,02","2,6",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe lamtoro var. gung tanpa kulit,tempe lamtoro var. gung tanpa kulit,tempe lamtoro var. gung tanpa kulit,,,,,True,False,True,False
CP082,Tempe pasar,KZGPI- 1990,"68,3",150,14,"7,7","9,1","1,4","0,9",517,202,"1,5",7,"165,9","0,4","1,2",,0,,"0,17","0,44","3,6",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe pasar,tempe pasar,tempe pasar,,,,,True,False,True,False
CP083,Tempe pasar goreng,KZGPI- 1990,"42,9",336,20,28,"7,8","3,4","1,3",156,350,3,20,"566,2","0,8","2,2",,,10,"0,1","0,5",3,0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tempe pasar goreng,tempe pasar goreng,tempe pasar goreng,,,,,True,False,True,False
CP084,Tepung hunkwe (pati kacang ijo),DABM-1964,10,364,"4,5",1,"83,5","16,1",1,50,100,1,15,"1232,9","0,93","2,7",0,,,0,"0,23","2,2",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tepung hunkwe (pati kacang ijo),tepung hunkwe (pati kacang ijo),tepung hunkwe (pati kacang ijo),,,,,True,False,True,False
CP085,Tepung Jalejo,BKP,10,388,19,"7,5","61,2","5,8","2,3",101,663,2,3,712,"0,6","1,9",,1000,0,"0,02","0,7","1,6",9,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tepung jalejo,tepung jalejo,tepung jalejo,,,,,True,False,True,False
CP086,Tepung kacang kedelai,DABM-1964,9,347,"35,9","20,6","29,9","5,8",4,195,544,"8,4",52,"2522,6","4303,45","2,6",,0,140,"0,77","0,32","2,1",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,tepung kacang kedelai,tepung kacang kedelai,tepung kacang kedelai,,,,,True,False,True,False
DR001,"Akar tonjong, segar",KZGPI-1990,"86,7",45,"1,1","0,4","10,8","1,2",1,72,125,"1,3","96,4","1147,1","0,02","0,2",0,83,90,"0,02","0,03","1,9",2,100,D,DR,S,Sayur,tkpi_main_group,"akar tonjong, segar",akar tonjong,akar tonjong,1 gelas,1.0,gelas,100,False,False,False,False
DR002,"Ale,toge, segar",KZGPI-1990,"90,6",37,"4,4","0,5","3,8","1,7","0,7",50,248,2,"2,3",105,"0,16","0,4",0,0,35,"0,02","0,09","0,6",46,90,D,DR,S,Sayur,tkpi_main_group,"ale,toge, segar","ale,toge","ale,toge",1 gelas,1.0,gelas,100,False,False,False,False
DR003,"Andaliman, segar",KZGPI-1990,"74,2",99,"4,6",1,18,"8,5","2,2",383,107,"2,9",,,,,0,,6300,3,,,15,100,D,DR,S,Sayur,tkpi_main_group,"andaliman, segar",andaliman,andaliman,1 gelas,1.0,gelas,100,False,False,False,False
DR004,"Andewi, segar",DABM-1964,"91,8",226,"1,6","0,2","5,3","4,1","1,1",33,66,1,29,"414,6","0,13",1,,1717,,"0,14","0,09","0,5",10,80,D,DR,S,Sayur,tkpi_main_group,"andewi, segar",andewi,andewi,1 gelas,1.0,gelas,100,False,False,False,False
DR005,"Bakung, segar",KZGMI-2001,"92,5",27,2,"0,2","4,2","3,8","1,1",19,20,"0,5",37,340,"0,2","0,3",,1080,,"0,2","0,1","0,3",42,100,D,DR,S,Sayur,tkpi_main_group,"bakung, segar",bakung,bakung,1 gelas,1.0,gelas,100,False,False,False,False
DR006,"Baligo, segar",DABM-1964,"96,1",15,"0,4","0,2",3,"0,4","0,3",19,19,"0,4","1,7","131,1","0,02","0,6",,0,,"0,04","0,02","0,3",13,69,D,DR,S,Sayur,tkpi_main_group,"baligo, segar",baligo,baligo,1 gelas,1.0,gelas,100,False,False,False,False
DR007,"Bawang bombay, segar",DABM-1964,"87,5",43,"1,4","0,2","10,3",2,"0,6",32,44,"0,5","12,2","9,6","0,1","0,3",,788,50,"0,03","0,21","0,4",9,94,D,DR,S,Sayur,tkpi_main_group,"bawang bombay, segar",bawang bombay,bawang bombay,1 gelas,1.0,gelas,100,False,False,False,False
DR008,"Bayam, segar",KZGPI-1990,"94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5","15,8","456,4","0,13","0,4",,2699,2293,"0,04","0,1",1,41,71,D,DR,S,Sayur,tkpi_main_group,"bayam, segar",bayam,bayam,1 gelas,1.0,gelas,100,False,False,False,False
DR009,"Bayam merah, segar",KZGMI-2001,"88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,7,20,60,"0,2","0,8",0,7325,,"0,2","0,1","0,1",62,71,D,DR,S,Sayur,tkpi_main_group,"bayam merah, segar",bayam merah,bayam merah,1 gelas,1.0,gelas,100,False,False,False,False
DR010,"Bit, segar",DABM-1964,"87,6",41,"1,6","0,1","9,6","2,6","1,1",27,43,1,"28,5","404,9","0,2","0,7",,0,20,"0,02","0,05","0,3",10,75,D,DR,S,Sayur,tkpi_main_group,"bit, segar",bit,bit,1 gelas,1.0,gelas,100,False,False,False,False
DR011,Buah kelor,KZGMI-2001,"89,5",38,"1,5","0,2","7,5","3,2","1,3",30,54,0,48,216,0,"0,2",,31,,"0,1","0,1","4,1",25,65,D,DR,S,Sayur,tkpi_main_group,buah kelor,buah kelor,buah kelor,1 gelas,1.0,gelas,100,False,False,False,False
DR012,Buah merah,KZGMI-2001,"81,2",87,"2,6","2,7","13,1",4,"0,4",30,1,"1,1",110,140,"0,1","0,3",0,0,,"1,5","0,1","0,2",15,100,D,DR,S,Sayur,tkpi_main_group,buah merah,buah merah,buah merah,1 gelas,1.0,gelas,100,False,False,False,False
DR013,"Buncis, segar",KZGPI-1990,"89,6",34,"2,4","0,3","7,2","1,9","0,5",101,42,"0,7",8,250,"0,07","0,3",0,772,550,"0,05","0,4","2,8",11,90,D,DR,S,Sayur,tkpi_main_group,"buncis, segar",buncis,buncis,1 gelas,1.0,gelas,100,False,False,False,False
DR014,"Bunga pepaya, segar",KZGPI-1990,"87,3",45,"2,6","0,3","8,1","1,6","1,7",290,113,"4,2","2,3","478,3","0,08","0,8",,2792,5,"0,01","0,28",1,23,100,D,DR,S,Sayur,tkpi_main_group,"bunga pepaya, segar",bunga pepaya,bunga pepaya,1 gelas,1.0,gelas,100,False,False,False,False
DR015,"Bunga turi, segar",BKP,"90,4",42,2,"1,1","6,1","3,3","0,4",28,23,"0,8","28,6","97,4","0,1","0,6",,1200,0,"0,5","0,02","0,4",1,"96,1",D,DR,S,Sayur,tkpi_main_group,"bunga turi, segar",bunga turi,bunga turi,1 gelas,1.0,gelas,100,False,False,False,False
DR016,"Caisin, segar",KZGPI-1990,"93,6",20,"1,7","0,4","3,4","1,2","0,9",123,40,"1,9",18,"358,2","0,05","1,4",,1675,4188,"0,04","0,19","0,6",3,100,D,DR,S,Sayur,tkpi_main_group,"caisin, segar",caisin,caisin,1 gelas,1.0,gelas,100,False,False,False,False
DR017,"Daun bangun- bangun, segar",KZGPI-1990,"92,5",27,"1,3","0,6",4,1,"1,6",279,40,"13,6","3,6",144,,,,1489,13288,"0,16","0,1",0,5,66,D,DR,S,Sayur,tkpi_main_group,"daun bangun- bangun, segar",daun bangun- bangun,daun bangun- bangun,1 gelas,1.0,gelas,100,False,False,False,False
DR018,"Daun bawang merah, segar",KZGMI-2001,"89,1",41,2,"0,3","7,8","2,1","0,8",60,40,"2,3",30,90,"0,1","0,3",0,218,,"0,1","0,1","0,2",11,67,D,DR,S,Sayur,tkpi_main_group,"daun bawang merah, segar",daun bawang merah,daun bawang merah,1 gelas,1.0,gelas,100,False,False,False,False
DR019,"Daun bebuas, segar",KZGPI-1990,"87,9",41,"2,7",1,"7,3","2,1","1,1",29,245,"1,5",,,,,0,,3099,"0,01",,,3,49,D,DR,S,Sayur,tkpi_main_group,"daun bebuas, segar",daun bebuas,daun bebuas,1 gelas,1.0,gelas,100,False,False,False,False
DR020,"Daun belem, segar",KZGPI-1990,"84,6",50,"4,4","1,4","7,8","1,9","1,8",698,151,"7,5",,,,,0,,13072,"0,05",,,21,81,D,DR,S,Sayur,tkpi_main_group,"daun belem, segar",daun belem,daun belem,1 gelas,1.0,gelas,100,False,False,False,False
DR021,"Daun bluntas, segar",DABM-1964,86,44,"1,8","0,5","9,4",,"2,3",256,49,"5,6",,,,,,,3980,"0,02",,,30,65,D,DR,S,Sayur,tkpi_main_group,"daun bluntas, segar",daun bluntas,daun bluntas,1 gelas,1.0,gelas,100,False,False,False,False
DR022,"Daun gandaria, segar",DABM-1964,81,63,"3,1","0,3",14,"2,1","1,6",40,45,"4,7",3,"127,7",,,,503,600,"0,04","0,04","0,2",61,65,D,DR,S,Sayur,tkpi_main_group,"daun gandaria, segar",daun gandaria,daun gandaria,1 gelas,1.0,gelas,100,False,False,False,False
DR023,"Daun gedi besar, segar",KZGMI-2001,84,58,"2,9","0,7",10,"3,3","2,4",440,100,"1,9",30,40,"0,2","2,1",,596,,"0,4","0,5","2,8",11,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi besar, segar",daun gedi besar,daun gedi besar,1 gelas,1.0,gelas,100,False,False,False,False
DR024,"Daun gedi kecil, segar",KZGMI-2001,"83,7",61,"3,2","0,7","10,4","3,4",2,420,70,"1,7",20,50,"0,1","1,4",,607,,"0,4","0,3","2,9",11,65,D,DR,S,Sayur,tkpi_main_group,"daun gedi kecil, segar",daun gedi kecil,daun gedi kecil,1 gelas,1.0,gelas,100,False,False,False,False
DR025,"Daun gelang, segar",KZGPI-1990,"90,3",30,"1,3","0,7","5,8","1,3","1,9",350,210,"11,9","4,7","333,3","0,31","1,2",0,4701,1954,"0,01","0,14","0,7",1,52,D,DR,S,Sayur,tkpi_main_group,"daun gelang, segar",daun gelang,daun gelang,1 gelas,1.0,gelas,100,False,False,False,False
DR026,"Daun gunda bali, segar",KZGPI-1990,"86,4",50,"4,6","0,9",7,"1,4","1,1",167,62,"0,5",,,,,0,,6571,"0,05",,,20,49,D,DR,S,Sayur,tkpi_main_group,"daun gunda bali, segar",daun gunda bali,daun gunda bali,1 gelas,1.0,gelas,100,False,False,False,False
DR027,"Daun gunda serang, segar",KZGPI-1990,"84,6",62,"4,2","0,9","9,2","1,3","1,1",171,64,"0,6",,,,,0,,7347,"0,02",,,20,47,D,DR,S,Sayur,tkpi_main_group,"daun gunda serang, segar",daun gunda serang,daun gunda serang,1 gelas,1.0,gelas,100,False,False,False,False
DR028,"Daun jambu mete muda, segar",DABM-1964,78,78,"4,6","0,5","16,2",3,"0,7",33,64,"8,9","13,9","670,5",,,,4484,2689,"0,02","1,12","1,1",65,65,D,DR,G,Gula,keyword_rule,"daun jambu mete muda, segar",daun jambu mete muda,daun jambu mete muda,,,,,False,False,False,False
DR029,"Daun jampang, segar",KZGPI-1990,"88,9",34,"3,8","0,5","5,3","1,4","1,5",21,245,1,,,,,0,,4357,"0,03",,,3,47,D,DR,G,Gula,keyword_rule,"daun jampang, segar",daun jampang,daun jampang,,,,,False,False,False,False
DR030,"Daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5,"1,3","15,3","3,9","1,2",146,103,"5,3",2,434,"0,5","1,5",,,,"0,1","0,7",,9,,D,DR,S,Sayur,tkpi_main_group,"daun jawaw seluang, segar",daun jawaw seluang,daun jawaw seluang,1 gelas,1.0,gelas,100,False,False,False,False
DR031,"Daun jonghe, segar",KZGPI-1990,"91,4",27,"2,1","0,7","4,4",2,"1,4",253,192,"9,5",,,,,0,,5057,"0,01",,,1,45,D,DR,S,Sayur,tkpi_main_group,"daun jonghe, segar",daun jonghe,daun jonghe,1 gelas,1.0,gelas,100,False,False,False,False
DR032,"Daun kacang ma, segar",KZGPI-1990,"89,1",36,"2,9","0,6","6,8","1,8","0,6",64,220,"2,2",7,"485,3","0,2","0,3",,2893,4377,"0,04","0,18","1,2",4,33,D,DR,S,Sayur,tkpi_main_group,"daun kacang ma, segar",daun kacang ma,daun kacang ma,1 gelas,1.0,gelas,100,False,False,False,False
DR033,"Daun kacang panjang, segar",KZGPI-1990,"89,7",30,"3,1","0,3","5,8","1,7","1,1",200,66,"4,5",7,"458,6","0,2","0,3",0,2734,4592,"0,33","0,2","1,1",30,65,D,DR,S,Sayur,tkpi_main_group,"daun kacang panjang, segar",daun kacang panjang,daun kacang panjang,1 gelas,1.0,gelas,100,False,False,False,False
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,"80,3",92,4,"3,6","10,9","5,8","1,2",140,70,"1,6",70,90,"0,3","1,1",,9999,,"0,1","0,2","0,1",74,87,D,DR,S,Sayur,tkpi_main_group,"daun kasbi/singkong karet, segar",daun kasbi singkong karet,daun kasbi singkong karet,1 gelas,1.0,gelas,100,False,False,False,False
DR035,"Daun katuk, segar",KZGPI-1990,81,59,"6,4",1,"9,9","1,5","1,7",233,98,"3,5","20,7","478,8","0,3","1,3",,9152,10020,0,"0,31","2,3",164,40,D,DR,S,Sayur,tkpi_main_group,"daun katuk, segar",daun katuk,daun katuk,1 gelas,1.0,gelas,100,False,False,False,False
DR036,"Daun kecipir, segar",DABM-1964,85,52,5,"0,5","8,5",,1,134,81,"6,2","5,8",114,"0,3","0,8",,3981,5240,"0,28","0,4","2,2",29,70,D,DR,S,Sayur,tkpi_main_group,"daun kecipir, segar",daun kecipir,daun kecipir,1 gelas,1.0,gelas,100,False,False,False,False
DR037,"Daun kedondong, segar",DABM-1964,81,59,"3,5","0,3","13,4","10,7","1,8",540,82,"6,2","12,1",579,,,,1624,2900,"0,06","0,2","1,5",29,65,D,DR,S,Sayur,tkpi_main_group,"daun kedondong, segar",daun kedondong,daun kedondong,1 gelas,1.0,gelas,100,False,False,False,False
DR038,"Daun kelor, segar",KZGMI-2001,"75,5",92,"5,1","1,6","14,3","8,2","3,5",1077,76,6,61,298,"0,1","0,6",,3266,,"0,3","0,1","4,2",22,65,D,DR,S,Sayur,tkpi_main_group,"daun kelor, segar",daun kelor,daun kelor,1 gelas,1.0,gelas,100,False,False,False,False
DR039,"Daun kemang, segar",DABM-1964,85,43,"5,5","0,3","7,5","8,4","1,7",35,106,1,"9,5","457,1",,,,1282,1017,"0,06","0,1","1,2",30,65,D,DR,S,Sayur,tkpi_main_group,"daun kemang, segar",daun kemang,daun kemang,1 gelas,1.0,gelas,100,False,False,False,False
DR040,"Daun kenikir, segar",BKP,"87,6",45,"3,7","0,5","6,6","5,8","1,7",328,65,"2,7","6,1",431,"0,1","0,6",,30200,12,"0,5","0,3","4,5",0,"36,3",D,DR,S,Sayur,tkpi_main_group,"daun kenikir, segar",daun kenikir,daun kenikir,1 gelas,1.0,gelas,100,False,False,False,False
DR041,"Daun kesum, segar",KZGPI-1990,"84,8",48,"4,5","0,8","9,1","1,6","0,8",125,142,"2,6","10,8","174,7","0,4","1,2",0,4216,8715,"0,01","0,1","1,6",4,53,D,DR,S,Sayur,tkpi_main_group,"daun kesum, segar",daun kesum,daun kesum,1 gelas,1.0,gelas,100,False,False,False,False
DR042,"Daun kol sawi, segar",KZGPI-1990,"93,1",22,"2,1","0,5","3,6","0,9","0,7",200,92,"3,2","19,4","386,2","0,1","0,2",0,1806,2177,"0,03","0,2","0,6",3,87,D,DR,S,Sayur,tkpi_main_group,"daun kol sawi, segar",daun kol sawi,daun kol sawi,1 gelas,1.0,gelas,100,False,False,False,False
DR043,"Daun koro, segar",DABM-1964,91,23,3,"0,3","3,7",,2,134,81,"6,2","3,5","68,4","0,2","0,5",,2386,5240,"0,28","0,2","1,3",29,65,D,DR,S,Sayur,tkpi_main_group,"daun koro, segar",daun koro,daun koro,1 gelas,1.0,gelas,100,False,False,False,False
DR044,"Daun kubis, segar",KZGMI-2001,"86,2",51,"2,5","1,1",8,"3,4","2,2",100,50,"3,4",50,100,"0,9","0,6",,9999,,"0,4","0,1","0,2",16,75,D,DR,S,Sayur,tkpi_main_group,"daun kubis, segar",daun kubis,daun kubis,1 gelas,1.0,gelas,100,False,False,False,False
DR045,"Daun kumak, segar",KZGPI-1990,"95,2",14,"1,3","0,3","2,3","0,9","0,9",90,59,"2,7","1,9","36,5","0,1","0,3",,1274,2961,"0,01",0,"0,5",3,78,D,DR,S,Sayur,tkpi_main_group,"daun kumak, segar",daun kumak,daun kumak,1 gelas,1.0,gelas,100,False,False,False,False
DR046,"Daun labu siam, segar",DABM-1964,"89,7",34,4,"0,4","4,7","3,5","1,2",58,70,"2,5","15,9","630,7","0,2","0,3",,4773,2025,"0,08","0,4","1,7",16,100,D,DR,S,Sayur,tkpi_main_group,"daun labu siam, segar",daun labu siam,daun labu siam,1 gelas,1.0,gelas,100,False,False,False,False
DR047,"Daun labu waluh/kuning, segar",DABM-1964,"89,7",34,"3,6","0,6","4,5","2,9","1,6",138,99,"3,7","15,9","630,7","0,2","0,3",,1258,2750,"0,14","0,2","1,3",36,70,D,DR,S,Sayur,tkpi_main_group,"daun labu waluh/kuning, segar",daun labu waluh kuning,daun labu waluh kuning,1 gelas,1.0,gelas,100,False,False,False,False
DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,"8,3","1,8","14,4","3,3","1,5",725,174,"3,9","10,1","197,7","0,5","1,4",0,6900,13040,0,"0,1","2,3",32,40,D,DR,S,Sayur,tkpi_main_group,"daun lamtoro, segar",daun lamtoro,daun lamtoro,1 gelas,1.0,gelas,100,False,False,False,False
DR049,"Daun leilem, segar",KZGMI-2001,"79,4",76,"2,8","0,2","15,8","3,1","1,8",296,22,"3,4",6,46,"0,5","1,1",,753,,"0,3","0,1","2,5",22,90,D,DR,S,Sayur,tkpi_main_group,"daun leilem, segar",daun leilem,daun leilem,1 gelas,1.0,gelas,100,False,False,False,False
DR050,"Daun leunca, segar",DABM-1964,85,49,"4,7","0,5","8,1",,"1,7",210,80,"6,1",,,,,,,1900,"0,14",,,40,70,D,DR,S,Sayur,tkpi_main_group,"daun leunca, segar",daun leunca,daun leunca,1 gelas,1.0,gelas,100,False,False,False,False
DR051,"Daun lobak, segar",DKBM-1964,90,30,"2,3","0,4","5,8","3,2","1,4",140,33,"3,7","15,8","747,4","0,2","0,2",,5039,1000,"0,07","1,1","6,5",109,70,D,DR,S,Sayur,tkpi_main_group,"daun lobak, segar",daun lobak,daun lobak,1 gelas,1.0,gelas,100,False,False,False,False
DR052,"Daun lompong talas, segar",DABM-1964,"87,2",44,3,"0,8","7,4","3,3","1,6",76,59,1,"2,7","578,4","0,2","0,4",,2584,2000,"0,08","0,4","1,4",31,75,D,DR,S,Sayur,tkpi_main_group,"daun lompong talas, segar",daun lompong talas,daun lompong talas,1 gelas,1.0,gelas,100,False,False,False,False
DR053,"Daun mangkokan, segar",DABM-1964,82,57,"3,7","0,3","11,8",,"2,2",474,49,4,,,,,,,5450,"0,06",,,83,80,D,DR,S,Sayur,tkpi_main_group,"daun mangkokan, segar",daun mangkokan,daun mangkokan,1 gelas,1.0,gelas,100,False,False,False,False
DR054,"Daun matel ambon, segar",KZGPI-1990,"77,1",71,"6,8","1,6","11,5","4,6",3,93,95,"10,2",,,,,0,,49,"0,08",,,26,100,D,DR,S,Sayur,tkpi_main_group,"daun matel ambon, segar",daun matel ambon,daun matel ambon,1 gelas,1.0,gelas,100,False,False,False,False
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5,"1,3","21,3","10,3","1,6",219,82,"4,2","12,2","604,8","0,4","0,6",,823,10000,"0,09",,,182,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,1.0,gelas,100,False,False,False,False
DR056,"Daun mengkudu, segar",KZGPI-1990,"80,9",65,4,"1,7","11,4","3,9",2,296,40,"6,9",,,,,0,2,4958,"0,01","0,1","5,7",35,90,D,DR,S,Sayur,tkpi_main_group,"daun mengkudu, segar",daun mengkudu,daun mengkudu,1 gelas,1.0,gelas,100,False,False,False,False
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,"1,7","0,5","38,8","10,7",3,40,20,"1,8",40,310,"0,2","0,7",,14457,,"0,4","0,1","0,1",30,,D,DR,S,Sayur,tkpi_main_group,"daun ndusuk, segar",daun ndusuk,daun ndusuk,1 gelas,1.0,gelas,100,False,False,False,False
DR058,"Daun oyong, segar",DABM-1964,93,22,1,"0,1","5,3",2,"0,6",21,44,2,"39,9","295,5","0,1","0,2",,855,1000,"0,08","0,1","0,8",150,65,D,DR,S,Sayur,tkpi_main_group,"daun oyong, segar",daun oyong,daun oyong,1 gelas,1.0,gelas,100,False,False,False,False
DR059,"Daun pakis, segar",KZGPI-1990,"86,8",39,"4,5","0,4","6,9",2,"1,4",136,159,"2,3","20,1","201,9","0,2","0,3",0,1625,3292,"0,02","0,1","0,5",3,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis, segar",daun pakis,daun pakis,1 gelas,1.0,gelas,100,False,False,False,False
DR060,"Daun pakis longgiho, segar",KZGMI-2001,"89,5",54,"2,2","3,6","3,1","2,1","1,6",40,80,"0,7",70,500,"0,4","0,1",,168,,"0,4","0,3","0,2",8,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis longgiho, segar",daun pakis longgiho,daun pakis longgiho,1 gelas,1.0,gelas,100,False,False,False,False
DR061,"Daun pakis wambateu, segar",KZGMI-2001,"86,9",53,"3,4","1,2","7,2","4,8","1,3",30,100,"0,3",20,200,"0,2","0,3",,191,,"0,7","0,2","0,3",6,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis wambateu, segar",daun pakis wambateu,daun pakis wambateu,1 gelas,1.0,gelas,100,False,False,False,False
DR062,"Daun paku, segar",KZGMI-2001,"88,8",29,"3,4","0,1","6,5","4,3","1,2",13,88,"1,3",19,434,"0,5","0,7",,18,,"0,2","0,1","11,7",10,70,D,DR,S,Sayur,tkpi_main_group,"daun paku, segar",daun paku,daun paku,1 gelas,1.0,gelas,100,False,False,False,False
DR063,"Daun pangi,segar",KZGMI-2001,"76,1",104,"3,9","0,6","17,9","8,3","1,5",256,22,"1,8",4,266,"1,7","0,5",,55,,"0,4","0,1","0,1",23,90,D,DR,S,Sayur,tkpi_main_group,"daun pangi,segar",daun pangi,daun pangi,1 gelas,1.0,gelas,100,False,False,False,False
DR064,"Daun pare, segar",KZGMI-2001,"87,3",49,"2,7",1,"8,4",3,"1,6",217,70,"3,3",7,498,"0,4","1,2",,1800,,"0,4","0,2","0,6",7,,D,DR,S,Sayur,tkpi_main_group,"daun pare, segar",daun pare,daun pare,1 gelas,1.0,gelas,100,False,False,False,False
DR065,"Daun pepaya, segar",DABM-1964,"75,4",87,8,2,"11,9","1,5","2,7",353,63,"0,8","4,4","926,6","0,2","1,5",,5409,18250,"0,15","0,5","1,9",140,71,D,DR,S,Sayur,tkpi_main_group,"daun pepaya, segar",daun pepaya,daun pepaya,1 gelas,1.0,gelas,100,False,False,False,False
DR066,"Daun pohpohan, segar",KZGPI-1990,"87,4",37,"2,5","0,8","6,9","2,6","2,4",744,80,"5,9",,,,,0,,7378,"0,03",,,5,69,D,DR,S,Sayur,tkpi_main_group,"daun pohpohan, segar",daun pohpohan,daun pohpohan,1 gelas,1.0,gelas,100,False,False,False,False
DR067,"Daun selasih, segar",KZGMI-2001,"83,1",62,4,"0,5","10,5","5,3","1,9",122,16,"13,9",3,259,"0,4","0,7",0,4112,,"0,5","0,1","0,2",24,53,D,DR,S,Sayur,tkpi_main_group,"daun selasih, segar",daun selasih,daun selasih,1 gelas,1.0,gelas,100,False,False,False,False
DR068,"Daun semanggi, segar",KZGPI-1990,"84,7",45,"4,4","0,5","8,5","1,9","1,9",98,90,7,"64,2","520,7","0,5","0,3",0,64,3365,"0,01","0,5","0,7",6,90,D,DR,S,Sayur,tkpi_main_group,"daun semanggi, segar",daun semanggi,daun semanggi,1 gelas,1.0,gelas,100,False,False,False,False
