food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std
GP095,Tumis keumamah,KGZMI-2001,"45,7",300,"14,5",20,"15,5","4,5","4,3",,,,,,,,,8,,"0,63","0,04",,7,100,G,GP,LH,Lauk Hewani,tkpi_main_group,tumis keumamah,tumis keumamah,tumis keumamah,,,,,tumis keumamah
HR001,"Telur ayam kampung, segar",KZGMI-2001,"73,1",174,"10,8",14,"1,2",0,"0,9",68,268,"4,9",190,141,"0,6","1,5",203,23,125,"0,78","0,62","0,2",,87,H,HR,LH,Lauk Hewani,tkpi_main_group,telur ayam kampung,telur ayam kampung,telur ayam kampung,,,,,telur ayam kampung
HR002,"Telur ayam ras, segar",KZGPI-1990,"74,3",154,"12,4","10,8","0,7",0,"0,8",86,258,3,142,"118,5","0,16",1,61,22,104,"0,12","0,38","0,2",0,89,H,HR,LH,Lauk Hewani,tkpi_main_group,telur ayam ras,telur ayam ras,telur ayam ras,,,,,telur ayam ras
HR003,"Telur ayam ras, bagian kuning, segar",DABM-1964,"49,4",355,"16,3","31,9","0,7",0,"1,7",147,586,"7,2",111,"107,5","0,2","2,5",606,63,,"0,27","0,51","0,2",0,100,H,HR,LH,Lauk Hewani,tkpi_main_group,"telur ayam ras, bagian kuning","telur ayam ras, bagian kuning","telur ayam ras, bagian kuning",,,,,"telur ayam ras, bagian kuning"
HR004,"Telur ayam ras, bagian putih, segar",DABM-1964,"87,8",50,"10,8",0,"0,8",0,"0,6",6,17,"0,2",164,"138,5","0,03","0,4",0,0,,0,"0,26","0,4",0,100,H,HR,LH,Lauk Hewani,tkpi_main_group,"telur ayam ras, bagian putih","telur ayam ras, bagian putih","telur ayam ras, bagian putih",,,,,"telur ayam ras, bagian putih"
HR005,"Telur bebek alabio, segar",KZGMI-2001,70,187,"11,8","14,2",3,0,1,60,268,6,115,80,"0,6","1,7",180,437,,"1,55","0,37","0,1",,90,H,HR,LH,Lauk Hewani,tkpi_main_group,telur bebek alabio,telur bebek alabio,telur bebek alabio,,,,,telur bebek alabio
HR006,"Telur bebek, bagian kuning, segar",DABM-1964,47,386,17,35,"0,8",0,"0,2",150,400,7,106,"90,7","0,09","2,5",870,747,,"0,6","0,68","1,4",0,100,H,HR,LH,Lauk Hewani,tkpi_main_group,"telur bebek, bagian kuning","telur bebek, bagian kuning","telur bebek, bagian kuning",,,,,"telur bebek, bagian kuning"
HR007,"Telur bebek, bagian putih, segar",DABM-1964,88,54,11,0,"0,8",0,"0,2",21,20,"0,1",184,"150,2","0,13","0,1",0,0,,"0,01","0,02","0,1",0,100,H,HR,LH,Lauk Hewani,tkpi_main_group,"telur bebek, bagian putih","telur bebek, bagian putih","telur bebek, bagian putih",,,,,"telur bebek, bagian putih"
HR008,"Telur bebek tambak, segar",KZGMI-2001,"67,7",187,"10,9","12,4","7,9",0,"1,1",64,295,"5,4",209,146,"0,4","1,8",378,471,375,"1,62","0,03","0,1",,90,H,HR,LH,Lauk Hewani,tkpi_main_group,telur bebek tambak,telur bebek tambak,telur bebek tambak,,,,,telur bebek tambak
HR009,"Telur burung maleo, segar",KZGMI-2001,36,436,"26,5","36,3","0,4",,"0,8",154,120,"4,3",77,333,"0,4","2,9",3987,,,,1,"0,2",,,H,HR,LH,Lauk Hewani,tkpi_main_group,telur burung maleo,telur burung maleo,telur burung maleo,,,,,telur burung maleo
