food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,food_name_normalized,category,category_source,urt_food_name,urt,gram_per_portion,similarity_score,match_type_fuzzy,match_type,URT,is_usable_for_recommendation,energy_kcal_portion,protein_g_portion,fat_g_portion,carb_g_portion,sodium_mg_portion,potassium_mg_portion,calcium_mg_portion,processing_status,restricted_processed_flag,macro_count
AP019,"Maizena, tepung",DABM-1964,14.0,341,0.3,0.0,85.0,7.0,0.7,20.0,30,1.5,6.0,9.0,1.6,0.22,0,0,0,0.09,0.00,1.3,0,100.0,maizena,MP,code_prefix,Maizena,10 Sendok Makan,50.0,100.0,exact_name,normalized_urt,10 Sendok Makan,True,170.5,0.15,0.0,42.5,3.0,4.5,10.0,Non-Olahan,False,4
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20.0,80,0.3,5.0,0.0,0.28,1.4,0,-,-,0.10,0.13,2.2,0,100.0,makaroni,MP,code_prefix,Makaroni,1½ Gelas,50.0,100.0,exact_name,normalized_urt,1½ Gelas,True,176.5,4.35,0.2,39.35,2.5,0.0,10.0,Non-Olahan,False,4
AP021,Mi basah,DABM-1964,80.0,88,0.6,3.3,14.0,0.1,2.1,14.0,13,6.8,63.0,13.5,0.06,0.4,0,-,-,0.00,0.00,0.0,0,100.0,basah mi,MP,code_prefix,Mie Basah,2 Gelas,200.0,94.12,fuzzy_category,normalized_urt,2 Gelas,True,176.0,1.2,6.6,28.0,126.0,27.0,28.0,Non-Olahan,False,4
AP024,Roti putih,DABM-1964,40.0,248,8.0,1.2,50.0,9.1,0.8,10.0,95,1.5,91.0,530.0,0.9,0.15,0,0,0,0.29,0.10,2.4,0,100.0,putih roti,MP,code_prefix,Roti Putih,3 Iris,70.0,100.0,exact_name,normalized_urt,3 Iris,True,173.6,5.6,0.84,35.0,63.699999999999996,371.0,7.0,Non-Olahan,False,4
AP025,Tepung terigu,KZGPI-1990,11.8,333,9.0,1.0,77.2,0.3,1.0,22.0,150,1.3,2.0,0.0,2.8,0.00,0,0,0,0.10,0.07,1.0,100,0.0,terigu,MP,code_prefix,Tepung Terigu,5 Sendok Makan,50.0,100.0,exact_name,normalized_urt,5 Sendok Makan,True,166.5,4.5,0.5,38.6,1.0,0.0,11.0,Non-Olahan,False,4
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62.0,87,2.7,20.3,241.0,0.16,0.6,14,0,-,0.15,0.09,1.4,100,0.0,biskuit,MP,code_prefix,Biskuit,4 Buah Besar,40.0,100.0,exact_name,normalized_urt,4 Buah Besar,True,183.20000000000002,2.7600000000000002,5.760000000000001,30.04,8.120000000000001,96.4,24.8,Olahan,False,4
AP047,Emping beras,KZGMI-2001,13.6,403,16.5,2.2,71.7,0.2,1.2,11.0,113.0,0.3,1.0,,0.30,2.4,0.06,0,0,0.16,0,-,100,0.0,beras emping,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,604.5,24.75,3.3000000000000003,107.55000000000001,1.5,,16.5,Non-Olahan,False,4
AP085,Mie ayam,KZGMS1993 -,78.6,102,6.2,3.9,10.5,-,0.8,262.0,51,1.8,166.0,279.0,39,-,0.85,0.0,0,-,-,-,100,,ayam mie,MP,code_prefix,,,100.0,,no_match,smart_portion_default,100 gram,True,102.0,6.2,3.9,10.5,166.0,279.0,262.0,Non-Olahan,False,4
AP089,Nasi gemuk,KZGMI-2001,61.4,192,3.8,8.8,24.4,0.7,1.0,1.6,15,74,355.0,63.0,0.20,0,1.4,0,0.19,0.05,2.0,0,100,,gemuk nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,288.0,5.699999999999999,13.200000000000001,36.599999999999994,532.5,94.5,2.4000000000000004,Non-Olahan,False,4
AP090,Nasi gurih,KZGMI-2001,60.5,190,4.7,7.5,26.0,0.7,0.8,1.3,12,62,52.0,296.0,0.20,1.2,0,0,0.06,0.11,2.1,0,100,,gurih nasi,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,285.0,7.050000000000001,11.25,39.0,78.0,444.0,1.9500000000000002,Non-Olahan,False,4
